Channel Id,Channel Url,Channel Title
UC-Rq8xtCPBwNt_msMVmtfFQ,http://www.youtube.com/channel/UC-Rq8xtCPBwNt_msMVmtfFQ,Punit Singh
UC-_r3ybLeGdNfca0UriJ6XA,http://www.youtube.com/channel/UC-_r3ybLeGdNfca0UriJ6XA,Dev Next Level
UC-dmJ79518WlKMbsu50eMTQ,http://www.youtube.com/channel/UC-dmJ79518WlKMbsu50eMTQ,Clark Kegley
UC-iLlKE21PgP-roy8sjC2ZQ,http://www.youtube.com/channel/UC-iLlKE21PgP-roy8sjC2ZQ,Kruxers Music
UC-psmgLP5ypCv1ILMvgIfgg,http://www.youtube.com/channel/UC-psmgLP5ypCv1ILMvgIfgg,J Trix
UC-uFB6fwKkYkIi4658v_hxw,http://www.youtube.com/channel/UC-uFB6fwKkYkIi4658v_hxw,Jumpers Jump Clips
UC0C-w0YjGpqDXGB8IHb662A,http://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
UC0GTuqMzOHgV0pRVRbu3afw,http://www.youtube.com/channel/UC0GTuqMzOHgV0pRVRbu3afw,Samjamguitar
UC0PDWWdR6UUWmVVWT3Ch5jA,http://www.youtube.com/channel/UC0PDWWdR6UUWmVVWT3Ch5jA,Follow The Compass North
UC0fDV9ojOuKTrntPRlgKkcQ,http://www.youtube.com/channel/UC0fDV9ojOuKTrntPRlgKkcQ,Casey Zander
UC1MmrnDaPnNa55twYBiH4NA,http://www.youtube.com/channel/UC1MmrnDaPnNa55twYBiH4NA,Polyfjord
UC1szFCBUWXY3ESff8dJjjzw,http://www.youtube.com/channel/UC1szFCBUWXY3ESff8dJjjzw,Loi Liang Yang
UC2BNxgNZ4rXjrvtdtj725MQ,http://www.youtube.com/channel/UC2BNxgNZ4rXjrvtdtj725MQ,Bundle Of Info
UC2QRcRPcROnaaQcli8kPGbg,http://www.youtube.com/channel/UC2QRcRPcROnaaQcli8kPGbg,Gaurav Sharma
UC2RpxrkilRbhwED1YG4BUIA,http://www.youtube.com/channel/UC2RpxrkilRbhwED1YG4BUIA,Domotro from Combo Class
UC2YyibL61HZl68aflFknUTA,http://www.youtube.com/channel/UC2YyibL61HZl68aflFknUTA,Prabh Deep
UC2bBsPXFWZWiBmkRiNlz8vg,http://www.youtube.com/channel/UC2bBsPXFWZWiBmkRiNlz8vg,Abhijit Chavda
UC2eYFnH61tmytImy1mTYvhA,http://www.youtube.com/channel/UC2eYFnH61tmytImy1mTYvhA,Luke Smith
UC2gQaoCItAC-IbT8RNwWqLQ,http://www.youtube.com/channel/UC2gQaoCItAC-IbT8RNwWqLQ,Shwetabh Gangwar
UC31msahuXK0g6Keb27d1wog,http://www.youtube.com/channel/UC31msahuXK0g6Keb27d1wog,NanoBaiter
UC39a9uWnGIDYzi5BMndFmiw,http://www.youtube.com/channel/UC39a9uWnGIDYzi5BMndFmiw,Larry Gao
UC3Rx3WbvEttXE5djEP-NPTA,http://www.youtube.com/channel/UC3Rx3WbvEttXE5djEP-NPTA,Guitar Adda
UC3zTcrgezTG_bHRA8fmlmmA,http://www.youtube.com/channel/UC3zTcrgezTG_bHRA8fmlmmA,Alpha Motivation
UC49gJcfMiAAWMPyOTHb_TWg,http://www.youtube.com/channel/UC49gJcfMiAAWMPyOTHb_TWg,Silk Road Studios
UC4SXMLUeOr9D2r870wtXNQw,http://www.youtube.com/channel/UC4SXMLUeOr9D2r870wtXNQw,Self-Help Toons
UC4_SUDiYxC8xsBB3KIOjz4A,http://www.youtube.com/channel/UC4_SUDiYxC8xsBB3KIOjz4A,Fearjames
UC5UAwBUum7CPN5buc-_N1Fw,http://www.youtube.com/channel/UC5UAwBUum7CPN5buc-_N1Fw,The Linux Experiment
UC5UEoOqiyiCEpmAJ-jlyL3g,http://www.youtube.com/channel/UC5UEoOqiyiCEpmAJ-jlyL3g,RohanBatra
UC5nc_ZtjKW1htCVZVRxlQAQ,http://www.youtube.com/channel/UC5nc_ZtjKW1htCVZVRxlQAQ,MrSuicideSheep
UC6-OJ0XHEvRkODh8ktUi_QA,http://www.youtube.com/channel/UC6-OJ0XHEvRkODh8ktUi_QA,Varun Duggi
UC6AIZZlzcP3csZcPgltF22Q,http://www.youtube.com/channel/UC6AIZZlzcP3csZcPgltF22Q,Josh2Funny Ent.
UC6VroAlEXUAT1OkH61TK_KA,http://www.youtube.com/channel/UC6VroAlEXUAT1OkH61TK_KA,Problem Solved
UC6WzPg6yxF9dQx2_O6R4lww,http://www.youtube.com/channel/UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput
UC6ktP3PLU5sAJxN9Rb0TALg,http://www.youtube.com/channel/UC6ktP3PLU5sAJxN9Rb0TALg,Mike Shake
UC6nFzTDZedVm74xtPBZv6Sw,http://www.youtube.com/channel/UC6nFzTDZedVm74xtPBZv6Sw,Redefine
UC6v3C8Y3OIpJI1ByX64OIYw,http://www.youtube.com/channel/UC6v3C8Y3OIpJI1ByX64OIYw,yaeow
UC77utDMe2X6dHqOBEwoUJlw,http://www.youtube.com/channel/UC77utDMe2X6dHqOBEwoUJlw,Take impulse
UC7IcJI8PUf5Z3zKxnZvTBog,http://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life
UC7b2A4OTNe5es8aJoAVRDfQ,http://www.youtube.com/channel/UC7b2A4OTNe5es8aJoAVRDfQ,KaanPhod Music
UC85D7ERwhke7wVqskV_DZUA,http://www.youtube.com/channel/UC85D7ERwhke7wVqskV_DZUA,Linking Your Thinking with Nick Milo
UC8YKE7-YPx8-QpB7uV5ZJjQ,http://www.youtube.com/channel/UC8YKE7-YPx8-QpB7uV5ZJjQ,Oversampled
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC8maW4itAzqQ9-ZgNCVfhSw,http://www.youtube.com/channel/UC8maW4itAzqQ9-ZgNCVfhSw,Nazz
UC90d9YRS0YQkkHdrIL8BI-g,http://www.youtube.com/channel/UC90d9YRS0YQkkHdrIL8BI-g,Drishticone Productions
UC9SVhrnsGxWwiBRWT9c7Ozw,http://www.youtube.com/channel/UC9SVhrnsGxWwiBRWT9c7Ozw,RoomieOfficial
UC9x0AN7BWHpCDHSm9NiJFJQ,http://www.youtube.com/channel/UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck
UCA071Pllf2wk-B8Rkwt47bQ,http://www.youtube.com/channel/UCA071Pllf2wk-B8Rkwt47bQ,Anonymous Official
UCAY_1vrUoOxjaKMnjKWovDQ,http://www.youtube.com/channel/UCAY_1vrUoOxjaKMnjKWovDQ,SIFF Guitar
UCAtIeffrm1-hiadMiCkYPRw,http://www.youtube.com/channel/UCAtIeffrm1-hiadMiCkYPRw,Ashish Gupta
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCB4NFn-8oipHct0IfAQBQrQ,http://www.youtube.com/channel/UCB4NFn-8oipHct0IfAQBQrQ,Unnecessary Inventions
UCBSgmJYXKczdP6iWaksn6Dg,http://www.youtube.com/channel/UCBSgmJYXKczdP6iWaksn6Dg,Ezekiel Bentancourt
